inventory_id,Department,Class,Size,Inventory Units,Full Price Inventory Units,Markdown Inventory Units,Inventory Value,Full Price Inventory Value,Markdown Inventory Value,Units Sold,Full Price Units Sold,Markdown Units Sold,Sales,Full Price Sales,Markdown Sales
36,Casual Wear,Denim,34,2,2,0,$43.73,$43.73,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
37,Casual Wear,Denim,34x30,1,1,0,$17.49,$17.49,$0.00,1,1,0,$17.49 ,$17.49 ,$0.00 
38,Casual Wear,Denim,36,4,4,0,$77.47,$77.47,$0.00,4,4,0,$77.47 ,$77.47 ,$0.00 
39,Casual Wear,Fashion Knits,L,"7,731","6,678","1,053","$117,106.02","$104,219.82","$12,886.20",996,873,123,"$14,868.27 ","$13,433.67 ","$1,434.60 "
40,Casual Wear,Fashion Knits,M,"2,268","1,961",307,"$34,338.89","$30,639.39","$3,699.50",235,202,33,"$3,505.48 ","$3,137.48 ",$368.00 
41,Casual Wear,Fashion Knits,PL,61,61,0,$782.00,$782.00,$0.00,6,6,0,$72.74 ,$72.74 ,$0.00 
42,Casual Wear,Fashion Knits,PM,220,220,0,"$2,853.25","$2,853.25",$0.00,4,4,0,$44.82 ,$44.82 ,$0.00 
43,Casual Wear,Fashion Knits,PS,208,208,0,"$2,693.48","$2,693.48",$0.00,2,2,0,$18.84 ,$18.84 ,$0.00 
44,Casual Wear,Fashion Knits,PXL,31,31,0,$397.49,$397.49,$0.00,3,3,0,$31.18 ,$31.18 ,$0.00 
45,Casual Wear,Fashion Knits,S,"1,438","1,314",124,"$21,795.46","$20,267.01","$1,528.45",170,154,16,"$2,603.26 ","$2,404.16 ",$199.10 
46,Casual Wear,Fashion Knits,XL,"2,669","2,459",210,"$40,308.02","$37,659.77","$2,648.25",547,509,38,"$8,515.52 ","$8,022.17 ",$493.35 
47,Casual Wear,Fashion Knits,XS,"1,016",960,56,"$15,857.41","$14,964.61",$892.80,63,62,1,"$1,012.79 ",$983.99 ,$28.80 
48,Casual Wear,Shorts,24,17,17,0,$285.43,$285.43,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
49,Casual Wear,Shorts,25,57,57,0,$960.78,$960.78,$0.00,2,2,0,$24.64 ,$24.64 ,$0.00 
50,Casual Wear,Shorts,26,20,20,0,$336.40,$336.40,$0.00,1,1,0,$9.34 ,$9.34 ,$0.00 
51,Casual Wear,Shorts,27,48,48,0,$812.97,$812.97,$0.00,11,11,0,$172.45 ,$172.45 ,$0.00 
52,Casual Wear,Shorts,28,97,97,0,"$1,644.63","$1,644.63",$0.00,3,3,0,$37.38 ,$37.38 ,$0.00 
53,Casual Wear,Shorts,29,93,93,0,"$1,576.67","$1,576.67",$0.00,12,12,0,$197.08 ,$197.08 ,$0.00 
54,Casual Wear,Shorts,30,56,56,0,$951.44,$951.44,$0.00,13,13,0,$220.87 ,$220.87 ,$0.00 
55,Casual Wear,Shorts,31,84,84,0,"$1,414.42","$1,414.42",$0.00,10,10,0,$157.16 ,$157.16 ,$0.00 
56,Casual Wear,Shorts,32,33,33,0,$550.48,$550.48,$0.00,18,18,0,$298.17 ,$298.17 ,$0.00 
57,Casual Wear,Shorts,33,1,1,0,$16.99,$16.99,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
58,Casual Wear,Shorts,34,21,21,0,$355.09,$355.09,$0.00,9,9,0,$149.51 ,$149.51 ,$0.00 
59,Best Brands Casual,3/4 & LS Knits,L,150,142,8,"$4,341.39","$4,240.59",$100.80,10,9,1,$268.72 ,$251.92 ,$16.80 
60,Best Brands Casual,3/4 & LS Knits,M,127,101,26,"$3,266.19","$2,958.99",$307.20,13,10,3,$278.30 ,$239.90 ,$38.40 
61,Best Brands Casual,3/4 & LS Knits,S,31,24,7,$790.76,$706.76,$84.00,7,7,0,$209.93 ,$209.93 ,$0.00 
62,Best Brands Casual,3/4 & LS Knits,XL,65,65,0,"$1,937.35","$1,937.35",$0.00,2,2,0,$50.98 ,$50.98 ,$0.00 
63,Best Brands Casual,3/4 & LS Knits,XXS,2,2,0,$22.09,$22.09,$0.00,2,2,0,$22.09 ,$22.09 ,$0.00 
64,Best Brands Casual,Career Knits,L,126,126,0,"$3,143.74","$3,143.74",$0.00,7,7,0,$178.43 ,$178.43 ,$0.00 
65,Best Brands Casual,Career Knits,M,139,139,0,"$3,658.62","$3,658.62",$0.00,12,12,0,$387.89 ,$387.89 ,$0.00 
66,Best Brands Casual,Career Knits,S,90,90,0,"$2,519.10","$2,519.10",$0.00,5,5,0,$139.96 ,$139.96 ,$0.00 
67,Best Brands Casual,Career Knits,XL,20,20,0,$498.55,$498.55,$0.00,13,13,0,$314.87 ,$314.87 ,$0.00 
68,Best Brands Casual,Career Knits,XS,47,47,0,"$1,274.53","$1,274.53",$0.00,4,4,0,$118.97 ,$118.97 ,$0.00 
69,Best Brands Casual,Career Wovens,L,93,93,0,"$4,311.08","$4,311.08",$0.00,9,9,0,$439.91 ,$439.91 ,$0.00 
70,Best Brands Casual,Career Wovens,M,148,148,0,"$6,829.53","$6,829.53",$0.00,11,11,0,$377.89 ,$377.89 ,$0.00 
71,Best Brands Casual,Career Wovens,M/L,28,0,28,"$1,747.20",$0.00,"$1,747.20",3,0,3,$166.40 ,$0.00 ,$166.40 
72,Best Brands Casual,Career Wovens,S,195,195,0,"$7,414.06","$7,414.06",$0.00,15,15,0,$575.86 ,$575.86 ,$0.00 
73,Best Brands Casual,Career Wovens,XL,101,101,0,"$5,508.99","$5,508.99",$0.00,33,33,0,"$1,937.68 ","$1,937.68 ",$0.00 
74,Best Brands Casual,Career Wovens,XS,117,96,21,"$4,156.44","$3,470.04",$686.40,10,4,6,$343.16 ,$155.96 ,$187.20 
75,Best Brands Casual,Career Wovens,XS/S,46,0,46,"$2,918.40",$0.00,"$2,918.40",1,0,1,$51.20 ,$0.00 ,$51.20 
76,Best Brands Casual,Dresses,0,102,102,0,"$6,714.99","$6,714.99",$0.00,6,6,0,$206.94 ,$206.94 ,$0.00 
77,Best Brands Casual,Dresses,0,13,13,0,"$1,077.88","$1,077.88",$0.00,4,4,0,$131.97 ,$131.97 ,$0.00 
78,Best Brands Casual,Dresses,10,381,322,59,"$34,083.98","$30,080.78","$4,003.20",57,42,15,"$4,423.98 ","$3,707.58 ",$716.40 
79,Best Brands Casual,Dresses,12,422,376,46,"$34,500.24","$33,396.24","$1,104.00",112,96,16,"$8,521.04 ","$8,239.04 ",$282.00 
80,Best Brands Casual,Dresses,14,133,110,23,"$12,740.31","$12,101.91",$638.40,21,17,4,"$1,759.24 ","$1,576.84 ",$182.40 
81,Best Brands Casual,Dresses,16,65,29,36,"$4,294.71","$3,424.71",$870.00,20,15,5,"$1,582.35 ","$1,462.35 ",$120.00 
82,Best Brands Casual,Dresses,18,29,3,26,$734.98,$104.98,$630.00,3,2,1,$67.19 ,$41.99 ,$25.20 
83,Best Brands Casual,Dresses,2,142,142,0,"$13,391.09","$13,391.09",$0.00,11,11,0,$808.39 ,$808.39 ,$0.00 
84,Best Brands Casual,Dresses,4,512,512,0,"$45,996.88","$45,996.88",$0.00,45,45,0,"$3,909.56 ","$3,909.56 ",$0.00 
85,Best Brands Casual,Dresses,6,295,275,20,"$27,943.55","$26,066.75","$1,876.80",18,17,1,"$1,531.54 ","$1,368.34 ",$163.20 
86,Best Brands Casual,Dresses,8,377,364,13,"$33,625.77","$32,315.37","$1,310.40",33,32,1,"$2,431.49 ","$2,330.69 ",$100.80 
87,Best Brands Casual,Dresses,L,760,731,29,"$47,996.59","$46,182.19","$1,814.40",182,181,1,"$6,864.14 ","$6,796.94 ",$67.20 
88,Best Brands Casual,Jackets,L,228,228,0,"$27,467.72","$27,467.72",$0.00,58,58,0,"$3,219.42 ","$3,219.42 ",$0.00 
89,Best Brands Casual,Jackets,M,363,363,0,"$30,570.88","$30,570.88",$0.00,31,31,0,"$1,776.19 ","$1,776.19 ",$0.00 
90,Best Brands Casual,Jackets,S,115,115,0,"$8,981.86","$8,981.86",$0.00,7,7,0,$386.69 ,$386.69 ,$0.00 
91,Best Brands Casual,Jackets,XL,15,15,0,"$1,354.35","$1,354.35",$0.00,10,10,0,$615.91 ,$615.91 ,$0.00 
92,Best Brands Casual,Jackets,XS,160,160,0,"$17,782.40","$17,782.40",$0.00,10,10,0,$614.15 ,$614.15 ,$0.00 
93,Best Brands Casual,Lightweight Sweaters,L,390,35,355,"$6,946.06",$683.66,"$6,262.40",103,52,51,"$1,599.29 ","$1,025.49 ",$573.80 
94,Best Brands Casual,Lightweight Sweaters,M,527,0,527,"$7,215.00",$0.00,"$7,215.00",110,38,72,"$1,579.13 ",$740.63 ,$838.50 
95,Best Brands Casual,Lightweight Sweaters,S,373,48,325,"$4,691.52","$1,002.52","$3,689.00",92,43,49,"$1,478.58 ",$883.58 ,$595.00 
96,Best Brands Casual,Lightweight Sweaters,XL,143,45,98,"$3,348.56","$1,767.56","$1,581.00",51,29,22,"$1,155.71 ",$849.71 ,$306.00 
97,Best Brands Casual,Lightweight Sweaters,XS,185,48,137,"$2,924.52","$1,559.52","$1,365.00",29,15,14,$569.85 ,$434.85 ,$135.00 
98,Best Brands Casual,Pants,0,13,13,0,$463.12,$463.12,$0.00,3,3,0,$101.97 ,$101.97 ,$0.00 
99,Best Brands Casual,Pants,0,4,4,0,$135.97,$135.97,$0.00,2,2,0,$67.98 ,$67.98 ,$0.00 
100,Best Brands Casual,Pants,10,34,18,16,"$1,308.93",$588.83,$720.10,19,15,4,$689.56 ,$484.36 ,$205.20 
101,Best Brands Casual,Pants,12,174,136,38,"$5,680.15","$4,833.15",$847.00,30,25,5,"$1,059.06 ",$945.76 ,$113.30 
102,Best Brands Casual,Pants,14,283,228,55,"$8,391.83","$7,472.73",$919.10,28,17,11,$922.83 ,$766.83 ,$156.00 
103,Best Brands Casual,Pants,16,93,10,83,"$1,837.40",$599.90,"$1,237.50",15,7,8,$506.19 ,$374.94 ,$131.25 
104,Best Brands Casual,Pants,18,56,0,56,$895.50,$0.00,$895.50,6,0,6,$121.50 ,$0.00 ,$121.50 
105,Best Brands Casual,Pants,2,121,121,0,"$4,951.04","$4,951.04",$0.00,11,11,0,$402.89 ,$402.89 ,$0.00 
106,Best Brands Casual,Pants,4,57,57,0,"$2,026.68","$2,026.68",$0.00,13,13,0,$624.62 ,$624.62 ,$0.00 
107,Best Brands Casual,Pants,6,104,104,0,"$3,508.97","$3,508.97",$0.00,8,8,0,$359.93 ,$359.93 ,$0.00 
108,Best Brands Casual,Pants,8,144,121,23,"$4,772.20","$4,261.80",$510.40,22,15,7,$993.11 ,$833.61 ,$159.50 
109,Best Brands Casual,Pants,L,"1,089","1,089",0,"$25,437.71","$25,437.71",$0.00,215,215,0,"$4,633.85 ","$4,633.85 ",$0.00 
110,Best Brands Casual,Pants,M,575,575,0,"$13,482.05","$13,482.05",$0.00,92,92,0,"$2,077.33 ","$2,077.33 ",$0.00 
111,Best Brands Casual,Pants,S,916,916,0,"$21,721.14","$21,721.14",$0.00,111,109,2,"$2,459.42 ","$2,440.42 ",$19.00 
112,Best Brands Casual,Pants,XL,179,179,0,"$3,748.21","$3,748.21",$0.00,64,64,0,"$1,300.61 ","$1,300.61 ",$0.00 
113,Best Brands Casual,Pants,XS,192,165,27,"$5,285.85","$4,205.85","$1,080.00",25,24,1,$611.77 ,$575.77 ,$36.00 
114,Best Brands Casual,Shorts,10,79,70,9,"$1,675.30","$1,189.30",$486.00,11,10,1,$201.40 ,$174.40 ,$27.00 
115,Best Brands Casual,Shorts,12,239,220,19,"$4,764.10","$3,754.30","$1,009.80",37,37,0,$633.24 ,$633.24 ,$0.00 
116,Best Brands Casual,Shorts,14,283,274,9,"$5,134.46","$4,648.46",$486.00,53,53,0,$886.88 ,$886.88 ,$0.00 
117,Best Brands Casual,Shorts,16,41,41,0,$693.19,$693.19,$0.00,6,6,0,$101.94 ,$101.94 ,$0.00 
118,Best Brands Casual,Shorts,2,26,20,6,$713.81,$389.81,$324.00,8,6,2,$200.94 ,$119.94 ,$81.00 
119,Best Brands Casual,Shorts,24,1,1,0,$19.99,$19.99,$0.00,1,1,0,$19.99 ,$19.99 ,$0.00 
120,Best Brands Casual,Shorts,25,3,3,0,$74.97,$74.97,$0.00,3,3,0,$74.97 ,$74.97 ,$0.00 
121,Best Brands Casual,Shorts,26,71,61,10,"$1,937.39","$1,709.39",$228.00,37,29,8,$999.12 ,$816.72 ,$182.40 
122,Best Brands Casual,Shorts,27,53,53,0,"$1,347.97","$1,347.97",$0.00,11,11,0,$294.39 ,$294.39 ,$0.00 
123,Best Brands Casual,Shorts,28,411,303,108,"$11,354.98","$8,762.98","$2,592.00",33,27,6,$912.33 ,$782.73 ,$129.60 
124,Best Brands Casual,Shorts,29,189,147,42,"$5,301.73","$4,310.53",$991.20,15,12,3,$406.58 ,$339.38 ,$67.20 
125,Best Brands Casual,Shorts,30,554,396,158,"$15,416.04","$11,636.04","$3,780.00",50,41,9,"$1,370.60 ","$1,154.60 ",$216.00 
126,Best Brands Casual,Shorts,31,231,154,77,"$6,291.46","$4,443.46","$1,848.00",21,17,4,$569.63 ,$468.83 ,$100.80 
127,Best Brands Casual,Shorts,32,94,65,29,"$2,428.00","$1,747.60",$680.40,19,15,4,$502.05 ,$404.85 ,$97.20 
128,Best Brands Casual,Shorts,33,1,1,0,$19.99,$19.99,$0.00,1,1,0,$19.99 ,$19.99 ,$0.00 
129,Best Brands Casual,Shorts,4,37,37,0,$664.73,$664.73,$0.00,21,21,0,$370.59 ,$370.59 ,$0.00 
130,Best Brands Casual,Shorts,6,111,100,11,"$2,338.21","$1,733.41",$604.80,66,58,8,"$1,492.22 ","$1,060.22 ",$432.00 
131,Best Brands Casual,Shorts,8,98,95,3,"$1,786.61","$1,603.01",$183.60,25,23,2,$528.48 ,$390.78 ,$137.70 
132,Best Brands Casual,Shorts,L,591,388,203,"$12,564.13","$7,418.53","$5,145.60",55,44,11,"$1,130.77 ",$810.77 ,$320.00 
133,Best Brands Casual,Shorts,M,370,333,37,"$8,425.02","$7,181.82","$1,243.20",35,29,6,$788.27 ,$586.67 ,$201.60 
134,Best Brands Casual,Shorts,S,684,665,19,"$14,066.36","$13,358.36",$708.00,45,42,3,$929.58 ,$809.58 ,$120.00 
135,Best Brands Casual,Shorts,XL,140,118,22,"$3,076.82","$2,424.02",$652.80,15,14,1,$334.67 ,$286.67 ,$48.00 
136,Best Brands Casual,Shorts,XS,123,98,25,"$3,032.78","$2,078.78",$954.00,6,6,0,$167.94 ,$167.94 ,$0.00 
137,Best Brands Casual,Shorts,XXL,8,0,8,$310.00,$0.00,$310.00,0,0,0,$0.00 ,$0.00 ,$0.00 
138,Best Brands Casual,Shorts,XXS,1,0,1,$25.60,$0.00,$25.60,1,0,1,$25.60 ,$0.00 ,$25.60 
139,Best Brands Casual,Skirts,10,45,36,9,"$6,224.04","$5,501.64",$722.40,2,2,0,$146.99 ,$146.99 ,$0.00 
140,Best Brands Casual,Skirts,12,10,10,0,"$1,535.90","$1,535.90",$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
141,Best Brands Casual,Skirts,14,20,15,5,"$2,786.85","$2,399.85",$387.00,0,0,0,$0.00 ,$0.00 ,$0.00 
142,Best Brands Casual,Skirts,2,13,13,0,"$1,979.87","$1,979.87",$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
143,Best Brands Casual,Skirts,4,28,28,0,"$4,308.72","$4,308.72",$0.00,4,0,4,$248.00 ,$0.00 ,$248.00 
144,Best Brands Casual,Skirts,6,44,29,15,"$5,662.41","$4,419.71","$1,242.70",5,5,0,$611.96 ,$611.96 ,$0.00 
145,Best Brands Casual,Skirts,8,67,55,12,"$9,435.86","$8,369.46","$1,066.40",2,2,0,$216.98 ,$216.98 ,$0.00 
146,Best Brands Casual,Skirts,L,694,694,0,"$18,881.56","$18,881.56",$0.00,58,58,0,"$1,729.18 ","$1,729.18 ",$0.00 
147,Best Brands Casual,SL Knits,L,250,250,0,"$4,353.70","$4,353.70",$0.00,42,42,0,$778.14 ,$778.14 ,$0.00 
148,Best Brands Casual,SL Knits,M,145,145,0,"$2,495.01","$2,495.01",$0.00,17,17,0,$315.54 ,$315.54 ,$0.00 
149,Best Brands Casual,SL Knits,S,187,187,0,"$3,171.89","$3,171.89",$0.00,29,29,0,$548.46 ,$548.46 ,$0.00 
150,Best Brands Casual,SL Knits,XL,43,43,0,$698.97,$698.97,$0.00,15,15,0,$272.85 ,$272.85 ,$0.00 
151,Best Brands Casual,SL Knits,XS,141,141,0,"$2,717.10","$2,717.10",$0.00,7,7,0,$138.43 ,$138.43 ,$0.00 
152,Best Brands Casual,SL Knits,XXS,3,3,0,$149.97,$149.97,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
153,Best Brands Casual,SS Knits,L,"1,123","1,091",32,"$22,843.05","$22,360.05",$483.00,138,127,11,"$2,754.14 ","$2,581.64 ",$172.50 
154,Best Brands Casual,SS Knits,M,850,813,37,"$17,051.57","$16,495.07",$556.50,134,132,2,"$2,578.88 ","$2,547.38 ",$31.50 
155,Best Brands Casual,SS Knits,S,"2,069","2,034",35,"$42,538.92","$42,011.67",$527.25,193,182,11,"$3,618.64 ","$3,452.14 ",$166.50 
156,Best Brands Casual,SS Knits,XL,136,136,0,"$2,543.84","$2,543.84",$0.00,41,41,0,$833.00 ,$833.00 ,$0.00 
157,Best Brands Casual,SS Knits,XS,360,360,0,"$7,534.80","$7,534.80",$0.00,25,25,0,$445.26 ,$445.26 ,$0.00 
158,Best Brands Casual,SS Knits,XXL,13,13,0,$197.38,$197.38,$0.00,8,8,0,$144.93 ,$144.93 ,$0.00 
159,Best Brands Casual,Wovens,L,992,805,187,"$27,583.81","$23,604.11","$3,979.70",118,110,8,"$3,211.90 ","$3,057.20 ",$154.70 
160,Best Brands Casual,Wovens,M,"1,537","1,206",331,"$41,788.45","$34,926.85","$6,861.60",190,156,34,"$4,998.84 ","$4,461.54 ",$537.30 
161,Best Brands Casual,Wovens,S,"2,281","1,723",558,"$58,915.68","$49,690.88","$9,224.80",140,128,12,"$3,764.83 ","$3,565.93 ",$198.90 
162,Best Brands Casual,Wovens,XL,424,379,45,"$13,968.42","$12,928.77","$1,039.65",109,99,10,"$2,820.71 ","$2,603.21 ",$217.50 
163,Best Brands Casual,Wovens,XS,856,644,212,"$24,469.06","$21,271.81","$3,197.25",46,31,15,"$1,142.10 ",$919.50 ,$222.60 
164,Best Brands Casual,Wovens,XXL,5,5,0,$85.81,$85.81,$0.00,2,2,0,$42.48 ,$42.48 ,$0.00 
165,Best Brands Casual,Wovens,XXS,28,28,0,$999.72,$999.72,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
166,Knitwear,Basic Knits WTS,L,"2,834","2,603",231,"$38,629.43","$36,564.83","$2,064.60",349,324,25,"$4,755.26 ","$4,547.56 ",$207.70 
167,Knitwear,Basic Knits WTS,M,"3,062","2,543",519,"$41,783.97","$36,059.27","$5,724.70",362,327,35,"$4,968.18 ","$4,559.93 ",$408.25 
168,Knitwear,Basic Knits WTS,S,"1,994","1,610",384,"$26,429.51","$22,707.11","$3,722.40",226,196,30,"$3,074.84 ","$2,738.84 ",$336.00 
169,Knitwear,Basic Knits WTS,XL,909,825,84,"$12,441.75","$11,745.75",$696.00,176,155,21,"$2,402.96 ","$2,234.96 ",$168.00 
170,Knitwear,Basic Knits WTS,XS,881,629,252,"$12,231.47","$9,435.47","$2,796.00",58,47,11,$793.79 ,$669.29 ,$124.50 
171,Knitwear,Cotton Sweaters,L,152,0,152,"$1,061.90",$0.00,"$1,061.90",6,0,6,$38.85 ,$0.00 ,$38.85 
172,Knitwear,Cotton Sweaters,M,28,0,28,$192.85,$0.00,$192.85,9,0,9,$60.90 ,$0.00 ,$60.90 
173,Knitwear,Cotton Sweaters,XL,13,0,13,$88.20,$0.00,$88.20,8,0,8,$50.40 ,$0.00 ,$50.40 
174,Knitwear,Doubleknit Sweaters,L,80,0,80,$799.50,$0.00,$799.50,10,0,10,$97.50 ,$0.00 ,$97.50 
175,Knitwear,Doubleknit Sweaters,M,150,0,150,"$1,500.00",$0.00,"$1,500.00",4,0,4,$36.00 ,$0.00 ,$36.00 
176,Knitwear,Doubleknit Sweaters,S,28,0,28,$279.50,$0.00,$279.50,2,0,2,$19.50 ,$0.00 ,$19.50 
177,Knitwear,Doubleknit Sweaters,XL,74,0,74,$740.00,$0.00,$740.00,6,0,6,$60.00 ,$0.00 ,$60.00 
178,Knitwear,Doubleknit Sweaters,XS,43,0,43,$425.00,$0.00,$425.00,3,0,3,$25.50 ,$0.00 ,$25.50 
179,Knitwear,Fine Gauge Sweaters,L,"2,277","1,514",763,"$41,269.66","$29,134.06","$12,135.60",191,157,34,"$3,164.63 ","$2,693.03 ",$471.60 
180,Knitwear,Fine Gauge Sweaters,M,"2,904","2,045",859,"$51,594.96","$38,169.56","$13,425.40",253,190,63,"$4,142.00 ","$3,268.00 ",$874.00 
181,Knitwear,Fine Gauge Sweaters,S,731,549,182,"$13,505.51","$10,645.51","$2,860.00",64,57,7,"$1,093.43 ",$989.43 ,$104.00 
182,Knitwear,Fine Gauge Sweaters,XL,434,298,136,"$8,631.33","$6,298.93","$2,332.40",99,85,14,"$1,699.15 ","$1,495.15 ",$204.00 
183,Knitwear,Fine Gauge Sweaters,XS,287,287,0,"$5,933.13","$5,933.13",$0.00,19,19,0,$347.02 ,$347.02 ,$0.00 
184,Knitwear,Linen,L,"5,602","5,135",467,"$107,436.85","$101,229.15","$6,207.70",646,600,46,"$13,077.56 ","$12,456.56 ",$621.00 
185,Knitwear,Linen,M,"7,286","6,502",784,"$142,569.69","$131,831.69","$10,738.00",739,667,72,"$14,293.33 ","$13,274.13 ","$1,019.20 "
186,Knitwear,Linen,S,"5,211","4,439",772,"$99,834.52","$88,497.92","$11,336.60",437,378,59,"$8,519.03 ","$7,636.83 ",$882.20 
187,Knitwear,Linen,XL,"1,878","1,878",0,"$35,999.22","$35,999.22",$0.00,372,372,0,"$7,575.44 ","$7,575.44 ",$0.00 
188,Knitwear,Linen,XS,"2,563","2,036",527,"$49,433.59","$41,403.49","$8,030.10",184,170,14,"$3,814.45 ","$3,603.85 ",$210.60 
189,Knitwear,Linen,XXL,18,18,0,$344.83,$344.83,$0.00,2,2,0,$29.99 ,$29.99 ,$0.00 
190,Knitwear,Merino/Midweight Sweaters,L,75,0,75,"$1,116.00",$0.00,"$1,116.00",4,0,4,$48.00 ,$0.00 ,$48.00 
191,Knitwear,Merino/Midweight Sweaters,M,137,0,137,"$2,052.00",$0.00,"$2,052.00",9,0,9,$135.00 ,$0.00 ,$135.00 
192,Knitwear,Mid/Coarse Gauge,M,37,0,37,$544.50,$0.00,$544.50,9,0,9,$132.00 ,$0.00 ,$132.00 
193,Knitwear,Novelty/Woolblend,L,22,0,22,$220.00,$0.00,$220.00,18,0,18,$180.00 ,$0.00 ,$180.00 
